period,ugs_id,network_id,N_interactions,P_plants,A_pollinators,L_links,singleton_rate,connectance,link_evenness,H2_specialization,WNODF_nestedness,plants_recorded,plant_records_rows,availability_sum,availability_n_nonmissing,share_interactions_species_id,share_taxa_species_id,share_bee_interactions,ugs_type,site_name,lat,lon,plant_trait_node_cov,plant_trait_weighted_cov,alien_share_unweighted,alien_share_weighted,flower_color_richness,symmetry_richness,pollination_syndrome_richness,plant_height_range,flowering_start_range,poll_trait_node_cov,poll_trait_weighted_cov,bee_trait_weighted_cov,bee_itd_range,bee_tongue_range,lecty_richness,nesting_richness,sociality_richness,botgarden_overlap_node,botgarden_overlap_weighted
A,11,A_11,11,6,5,8,0.75,0.26666666666666666,0.948450312207479,0.7424766738797569,NA,18,18,2898,7,0.6363636363636364,0.6,0.5454545454545454,Allotment,Familiengarten Heuelsteig,47.3683693914919,8.57004185552238,0.8333333333333334,0.9090909090909091,0.2,0.36363636363636365,3,2,1,1.478365275244862,2,0.6,0.6363636363636364,0.8333333333333334,0.18999999999999995,1.1435513113903601,1,1,2,NA,NA
A,12,A_12,19,8,7,10,0.7,0.17857142857142858,0.8603793885535265,0.8441564035455963,NA,22,22,472,11,0.7368421052631579,0.5714285714285714,0.7368421052631579,Allotment,Familiengarten Wehrenbach,47.35557,8.57667,0.875,0.9473684210526315,0,0,3,2,2,0.689236351270795,2,0.5714285714285714,0.7368421052631579,1,0.8199999999999998,2.27718892352562,2,3,2,NA,NA
A,13,A_13,30,9,11,23,0.782608695652174,0.23232323232323232,0.9704516348198235,0.5210524071632591,11.08058608058608,25,26,1010,15,1,1,0.8333333333333334,Real estate,Eisenbahnerstrasse,47.38901,8.49055,1,1,0.1111111111111111,0.16666666666666666,5,2,3,8.600206638793592,4,0.6363636363636364,0.8333333333333334,0.9615384615384616,2.46,5.58654992585358,2,3,4,NA,NA
A,14,A_14,22,7,13,17,0.8235294117647058,0.18681318681318682,0.9630081496538915,0.7918600902195213,NA,22,22,710,12,0.5454545454545454,0.6153846153846154,0.5909090909090909,Real estate,Regina Pärkli,47.41207,8.53283,0.8571428571428571,0.8636363636363636,0,0,3,2,2,1.9145168587033126,5,0.46153846153846156,0.45454545454545453,0.6153846153846154,1.1400000000000001,2.98578903248991,1,2,2,NA,NA
A,15,A_15,32,8,16,19,0.7894736842105263,0.1484375,0.8824957847315485,0.8703767770028139,NA,26,27,1048,9,0.84375,0.8125,0.65625,Real estate,Stüssistrasse,47.3933,8.54002,1,1,0.125,0.0625,5,2,2,6.267260869565206,3,0.625,0.75,0.9523809523809523,2.79,6.55891325549051,1,2,4,NA,NA
A,16,A_16,15,5,9,10,0.9,0.2222222222222222,0.8648307589022237,0.936676415288629,NA,14,15,1300,10,1,1,0.5333333333333333,Real estate,Grünau,47.39639,8.49091,1,1,0,0,4,1,2,8.740399568511172,4,0.5555555555555556,0.7333333333333333,1,1.8399999999999999,4.71667553439096,1,2,2,NA,NA
A,17,A_17,37,7,18,24,0.75,0.19047619047619047,0.9195447131943837,0.6058398141147996,4.597701149425287,15,16,9661,8,0.7027027027027027,0.5,0.5135135135135135,Real estate,Bernstrasse,47.40279,8.44555,1,1,0,0,3,2,3,0.5492908514695165,5,0.2777777777777778,0.5405405405405406,0.9047619047619048,1.6799999999999997,4.50833316170465,2,2,4,NA,NA
A,18,A_18,11,4,8,9,0.8888888888888888,0.28125,0.9549655329584326,0.8381792506124084,NA,15,15,776,12,0.9090909090909091,0.875,0.5454545454545454,Real estate,Färberstrasse,47.36174,8.54998,1,1,0,0,2,1,3,8.740399568511172,3,0.625,0.7272727272727273,1,3.784407407407408,8.297626343628624,1,2,2,NA,NA
A,19,A_19,39,9,19,24,0.7916666666666666,0.14035087719298245,0.9046639353778437,0.7596700565248253,3.140096618357488,19,19,454,8,0.9230769230769231,0.8421052631578947,0.7435897435897436,Real estate,Sägestrasse,47.39319,8.44674,1,1,0,0,4,2,3,4.0213381340922325,5,0.631578947368421,0.717948717948718,0.9655172413793104,3.33,7.347992949856869,2,3,4,NA,NA
A,20,A_20,39,12,12,22,0.7272727272727273,0.1527777777777778,0.9056086614053912,0.7814922780720226,3.409090909090909,22,26,2851,19,0.9743589743589743,0.9166666666666666,0.8205128205128205,Real estate,Genosseschaft in der Ey,47.37421,8.49236,1,1,0.08333333333333333,0.07692307692307693,5,2,3,3.026051742424243,5,0.5833333333333334,0.8461538461538461,0.96875,2.68,6.01486807428999,2,3,4,NA,NA
A,21,A_21,32,12,20,26,0.8076923076923077,0.10833333333333334,0.978931768404241,0.843146406552684,2.734375,24,24,2144,12,0.875,0.9,0.59375,Real estate,Waidspital,47.398,8.52109,1,1,0.08333333333333333,0.03125,4,2,3,9.113633030303044,3,0.7,0.75,0.8421052631578947,4.19,8.99952728926705,2,2,4,NA,NA
A,22,A_22,21,6,11,14,0.7142857142857143,0.21212121212121213,0.9440847282550953,0.7426769414707222,NA,18,22,754,12,1,1,0.7619047619047619,Real estate,Hägelerweg,47.36794,8.50046,1,1,0,0,4,2,2,0.6903374567099565,6,0.7272727272727273,0.8571428571428571,0.9411764705882353,3.784407407407408,8.297626343628624,2,2,4,NA,NA
A,23,A_23,132,5,12,14,0.5714285714285714,0.23333333333333334,0.4544794259635165,0.36520132398249694,NA,16,18,7379,12,0.9924242424242424,0.9166666666666666,0.9166666666666666,Real estate,Leimbachstrasse,47.33505,8.52019,1,1,0,0,3,2,2,3.1214832056737722,0,0.4166666666666667,0.9166666666666666,1,2.137210924369748,6.495484107465003,1,3,3,NA,NA
A,24,A_24,5,4,5,5,1,0.25,1.0000000000000002,1,NA,10,10,189,3,1,1,0.6,Real estate,Altwiesenstrasse,47.40297,8.57899,1,1,0.25,0.2,3,1,2,1.7100476496707424,4,0.8,0.8,1,3.04,7.46407593664537,2,3,3,NA,NA
A,26,A_26,71,10,12,22,0.5,0.18333333333333332,0.8418267675533149,0.7705227637730812,7.657657657657658,23,25,596,8,0.7746478873239436,0.8333333333333334,0.7605633802816901,Garden,Gladiolenweg,47.38128,8.49833,1,1,0,0,2,2,1,2.873212121212127,2,0.75,0.7605633802816901,1,4.124407407407408,8.800624667379244,1,4,3,NA,NA
A,27,A_27,42,13,19,26,0.9230769230769231,0.10526315789473684,0.8366712820019592,0.8630893055423577,0.8032128514056225,30,31,670,15,1,1,0.6904761904761905,Garden,Breitensteinstrasse,47.39275,8.52191,0.9230769230769231,0.9761904761904762,0,0,5,2,2,1.599241193558597,3,0.5789473684210527,0.8095238095238095,1,3.914407407407408,8.469106124845204,1,3,4,NA,NA
A,28,A_28,5,4,4,5,1,0.3125,1.0000000000000002,0.7918756684685216,NA,16,16,112,4,1,1,0.6,Garden,Kasinostrasse,47.3681,8.55506,1,1,0,0,3,1,2,5.717684450493282,3,0.5,0.6,1,0.81,1.0576935989761198,1,1,2,NA,NA
A,29,A_29,11,7,9,10,0.9,0.15873015873015872,0.9866599586738648,0.9287082776283172,NA,21,21,2988,11,1,1,0.7272727272727273,Garden,Bühlwiesenstrasse,47.41697,8.5472,1,1,0.42857142857142855,0.5454545454545454,4,2,2,0.8497806897926635,6,0.7777777777777778,0.8181818181818182,1,2.46,5.58654992585358,2,3,3,NA,NA
A,30,A_30,18,6,10,14,0.7142857142857143,0.23333333333333334,0.9784957360855949,0.6584030519973935,NA,26,27,696,5,0.8888888888888888,0.8,0.6666666666666666,Garden,Eleonorenstrasse,47.3731,8.55761,1,1,0.16666666666666666,0.16666666666666666,4,2,1,5.888252662556165,2,0.8,0.8888888888888888,1,3.914407407407408,8.469106124845204,1,3,2,NA,NA
A,31,A_31,16,6,9,11,0.8181818181818182,0.2037037037037037,0.910380032772053,0.8731204534693808,NA,15,16,490,12,0.9375,0.8888888888888888,0.75,Garden,Schützenmatt,47.40882,8.52423,1,1,0.16666666666666666,0.0625,3,2,2,11.857675686678732,1,0.5555555555555556,0.75,0.9166666666666666,1.1400000000000001,2.98578903248991,2,2,2,NA,NA
A,32,A_32,26,9,11,18,0.6666666666666666,0.18181818181818182,0.9657216453452796,0.6664120348986251,NA,32,33,480,9,0.8846153846153846,0.8181818181818182,0.7692307692307693,Garden,Kapfsteig,47.36071,8.56979,0.8888888888888888,0.9230769230769231,0.5,0.4230769230769231,4,2,2,5.958957546953946,3,0.5454545454545454,0.7692307692307693,0.95,2.25,5.25503138331954,1,2,3,NA,NA
A,33,A_33,2,2,1,2,1,1,1,NA,NA,23,23,440,8,1,1,1,Garden,Hardlaubstrasse 48,47.3840958192914,8.55396999567992,1,1,0,0,2,1,2,2.85399999999999,1,1,1,1,0,0,1,1,1,NA,NA
A,34,A_34,20,8,9,13,0.7692307692307693,0.18055555555555555,0.9043355924068645,0.7820038047499909,NA,22,24,529,13,0.95,0.8888888888888888,0.6,Garden,NA,47.33657,8.51649,1,1,0.375,0.2,3,2,3,7.9260517424242725,4,0.6666666666666666,0.75,1,2.25,5.25503138331954,2,2,3,NA,NA
A,35,A_35,25,11,13,17,0.7647058823529411,0.11888111888111888,0.9368342219691843,0.838889655807109,NA,25,25,1339,13,1,1,0.8,Garden,Hubenstrasse,47.4016,8.5695,1,1,0.18181818181818182,0.12,6,2,2,0.37534088888888806,2,0.6923076923076923,0.84,1,3.2800000000000002,7.33065630072365,2,3,3,NA,NA
A,36,A_36,20,6,9,11,0.8181818181818182,0.2037037037037037,0.8573539378464412,0.7453622907374472,NA,19,19,4335,11,1,1,0.9,Garden,Blüemlisalpstrasse,47.39129,8.54827,1,1,0.5,0.65,4,1,3,18.2144230769231,0,0.8888888888888888,0.95,1,4.79,10.22134372420287,1,2,4,NA,NA
A,37,A_37,19,6,10,14,0.7142857142857143,0.23333333333333334,0.9670442809186829,0.7277765403387221,NA,18,20,217,19,1,1,0.6842105263157895,Park,Alter Botantischer Garten,47.3712063,8.53370916,1,1,0.16666666666666666,0.15789473684210525,4,2,2,0.656603017937462,3,0.7,0.6842105263157895,1,3.2,7.09726910441909,2,2,4,NA,NA
A,38,A_38,22,8,12,17,0.7647058823529411,0.17708333333333334,0.9714028604103718,0.7837717811160824,NA,21,23,3420,15,0.9545454545454546,0.9166666666666666,0.9090909090909091,Park,Park Pfingstweid,47.3879955,8.51274138,1,1,0.125,0.18181818181818182,3,2,3,0.4716969037145655,6,0.8333333333333334,0.8636363636363636,0.95,5.13,10.72434204795349,1,3,4,NA,NA
A,39,A_39,23,10,8,14,0.6428571428571429,0.175,0.9327187108016005,0.681280922779248,NA,22,22,838,10,0.9130434782608695,0.75,0.782608695652174,Park,Zeughaushof,47.3771755,8.53009344,1,1,0.2,0.08695652173913043,5,2,3,12.011623881722743,5,0.5,0.782608695652174,1,3.059,7.52714021983858,1,2,2,NA,NA
A,40,A_40,14,6,9,12,0.9166666666666666,0.2222222222222222,0.9672960595199888,0.8044786504160365,NA,11,16,676,15,1,1,0.7142857142857143,Park,Josefwiese,47.3857731,8.52359424,1,1,0.16666666666666666,0.14285714285714285,4,2,3,7.462051742424222,3,0.7777777777777778,0.8571428571428571,1,2.81,7.0391460549098,2,3,4,NA,NA
A,41,A_41,22,3,6,8,0.5,0.4444444444444444,0.7772554591340425,0.6244849351494961,NA,4,4,1273,4,1,1,0.8636363636363636,Park,Pestalozianlage,47.375636,8.53877523,1,1,0.3333333333333333,0.7727272727272727,3,1,2,5.930000000000031,2,0.8333333333333334,0.9090909090909091,1,1.8682622950819672,4.669703204294415,1,1,2,NA,NA
A,42,A_42,58,11,12,21,0.5714285714285714,0.1590909090909091,0.7325723910923807,0.7291828279720489,7.644628099173554,11,11,3475,11,0.9482758620689655,0.75,0.8448275862068966,Park,Bäckeralage,47.3778306,8.52357823,0.8181818181818182,0.4827586206896552,0.2222222222222222,0.1206896551724138,4,2,3,12.011623881722743,4,0.4166666666666667,0.8275862068965517,0.9411764705882353,1.98,6.214866530171131,1,2,2,NA,NA
A,43,A_43,42,12,21,31,0.8387096774193549,0.12301587301587301,0.9423034319270029,0.7266316665681698,2.9287439613526574,26,33,2038,20,0.9761904761904762,0.9523809523809523,0.8333333333333334,Park,Villa Hohenbühl,47.3667038,8.55088549,0.9166666666666666,0.9761904761904762,0,0,4,2,3,11.932648576080162,1,0.7619047619047619,0.8571428571428571,0.9428571428571428,4.124407407407408,8.800624667379244,2,3,4,NA,NA
A,44,A_44,20,8,8,14,0.6428571428571429,0.21875,0.9676491409916022,0.6186001730266832,NA,18,19,1475,18,0.75,0.75,0.7,Park,Sonnenberg,47.3677599,8.56729097,1,1,0.125,0.05,5,2,3,0.727777902097902,2,0.625,0.65,0.7142857142857143,2.25,5.25503138331954,2,2,3,NA,NA
A,45,A_45,49,10,16,24,0.6666666666666666,0.15,0.8989436480097148,0.7342116715514305,10.727272727272727,19,20,3857,13,0.9591836734693877,0.875,0.7551020408163265,Park,Kloptstockwiese,47.36235,8.52484,1,1,0.2,0.24489795918367346,4,2,2,3.1675517424242328,4,0.5625,0.7551020408163265,0.9736842105263158,2.12,5.21697123802468,2,2,4,NA,NA
A,46,A_46,6,3,5,5,0.8,0.3333333333333333,0.9697238998682473,1,NA,18,18,354,9,0.8333333333333334,0.8,0.6666666666666666,Park,Muraltengut,47.3527107,8.53272972,1,1,0,0,3,2,2,0.22855271464646348,4,0.6,0.6666666666666666,1,1.93,3.9400002907126,1,2,2,NA,NA
A,47,A_47,25,10,15,16,0.875,0.10666666666666667,0.855670797313873,0.9302790039950156,NA,19,19,1780,15,0.96,0.9333333333333333,0.64,Park,Schärrerwiese,47.4027993,8.4975626,1,1,0,0,6,2,3,1.9677184090909126,5,0.8,0.88,1,3.0709999999999997,7.49419154518381,2,3,4,NA,NA
A,48,A_48,15,5,13,14,0.9285714285714286,0.2153846153846154,0.9911230603728024,0.9122202186899403,NA,15,15,1112,13,0.8666666666666667,0.8461538461538461,0.5333333333333333,Park,Bachwiesenpark,47.3813472,8.4865946,0.8,0.8666666666666667,0,0,2,2,2,0.3310673674242425,4,0.6923076923076923,0.7333333333333333,1,2.42,4.7781031113626895,1,2,4,NA,NA
A,49,A_49,29,9,18,22,0.8636363636363636,0.13580246913580246,0.9385120102342357,0.9120942084148672,0,20,21,1526,11,0.9310344827586207,0.8888888888888888,0.5517241379310345,Ruderal,Nähe Europabrücke,47.3935133,8.49692767,1,1,0.2222222222222222,0.20689655172413793,5,2,2,0.71073405242022,2,0.5555555555555556,0.6896551724137931,0.9473684210526315,3.534407407407408,8.421013124431184,2,3,4,NA,NA
A,50,A_50,57,9,21,28,0.8214285714285714,0.14814814814814814,0.8362068969438075,0.8427086459497322,2.710027100271003,19,19,2365,16,1,1,0.8070175438596491,Ruderal,Glattparkstrasse,47.4172938734014,8.56340153047356,0.8888888888888888,0.9473684210526315,0.25,0.40350877192982454,4,2,2,0.369964367816092,1,0.8095238095238095,0.9298245614035088,1,4.124407407407408,8.800624667379244,2,4,4,NA,NA
A,51,A_51,25,4,10,11,0.8181818181818182,0.275,0.7029297588429715,0.8516621430279149,NA,6,6,988,6,0.92,0.8,0.84,Ruderal,Stelzenstrasse,47.4254028,8.5568885,1,1,0,0,3,2,3,0.555997220836011,1,0.4,0.76,0.8636363636363636,1.277210924369748,4.830840689364084,2,2,2,NA,NA
A,52,A_52,32,7,7,13,0.9230769230769231,0.2653061224489796,0.6212221021803844,0.5085777793432469,NA,14,14,6078,9,1,1,0.84375,Ruderal,Güterstrasse,47.3822448636764,8.51737256111909,1,1,0.42857142857142855,0.84375,5,2,1,0.348125379913398,2,0.7142857142857143,0.9375,1,2.3500000000000005,4.52792383107901,1,1,2,NA,NA
A,53,A_53,31,9,16,22,0.8181818181818182,0.1527777777777778,0.9401635372628596,0.7634879168873341,8.226495726495727,16,16,2551,11,1,1,0.8064516129032258,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,47.4104,8.55117,0.8888888888888888,0.967741935483871,0.125,0.0967741935483871,4,2,2,0.643884499418943,2,0.9375,0.967741935483871,1,3.914407407407408,8.469106124845204,2,3,4,NA,NA
A,54,A_54,30,8,14,19,0.631578947368421,0.16964285714285715,0.9482442870413175,0.7086899195099048,NA,24,24,1542,12,0.8333333333333334,0.7857142857142857,0.43333333333333335,Ruderal,Herdernstrasse,47.3852502,8.50731145,0.875,0.9666666666666667,0.14285714285714285,0.1,4,2,2,8.736345527236356,2,0.5714285714285714,0.6666666666666666,1,2.4000000000000004,5.54718591802254,2,2,3,NA,NA
A,55,A_55,21,7,9,12,0.75,0.19047619047619047,0.8744501897863957,0.8045628983551297,NA,16,16,3853,11,0.9047619047619048,0.8888888888888888,0.6666666666666666,Ruderal,Hinterhagenweg,47.3454633307774,8.51989234039952,1,1,0.14285714285714285,0.23809523809523808,4,2,3,0.30318331266021603,2,0.6666666666666666,0.8095238095238095,1,1.8114999999999999,4.402522540927674,1,1,1,NA,NA
A,56,A_56,43,9,12,16,0.5625,0.14814814814814814,0.8583651161655769,0.8668901592530686,NA,18,18,4034,12,0.9767441860465116,0.9166666666666666,0.9767441860465116,Ruderal,ETH / UZH,47.3751209,8.54730172,0.8888888888888888,0.9302325581395349,0.25,0.06976744186046512,4,2,2,0.19948548582995795,1,0.8333333333333334,0.9534883720930233,0.9761904761904762,4.412000000000001,10.128914894112292,2,2,3,NA,NA
A,57,A_57,47,7,19,26,0.6923076923076923,0.19548872180451127,0.9179811762447663,0.7000660741845306,8.697916666666666,9,9,2306,9,0.9361702127659575,0.8947368421052632,0.8085106382978723,Ruderal,Oberer Letten,47.3844714,8.53759346,1,1,0,0,4,2,3,5.636399696969684,1,0.7894736842105263,0.8936170212765957,0.9473684210526315,4.8100000000000005,10.114473756932592,3,4,4,NA,NA
A,58,A_58,33,8,14,18,0.8333333333333334,0.16071428571428573,0.8342684574820585,0.7465703075361255,NA,22,22,2404,12,0.9393939393939394,0.8571428571428571,0.9090909090909091,Ruderal,Allmannstrasse,47.4168364542774,8.55126416858936,1,1,0,0,4,2,2,0.8109025602867219,3,0.7142857142857143,0.8787878787878788,0.9333333333333333,3.784407407407408,8.815065804558945,3,2,3,NA,NA
A,59,A_59,11,5,5,7,0.5714285714285714,0.28,0.9487695103589051,1,NA,14,14,2751,8,1,1,0.7272727272727273,Ruderal,Hofwiesenstrasse,47.4045952,8.53645843,1,1,0.2,0.18181818181818182,3,2,2,15.609677419354801,1,0.6,0.8181818181818182,1,1.8114999999999999,4.57334772295826,1,2,2,NA,NA
A,60,A_60,2,2,2,2,1,0.5,1,1,NA,24,24,3670,16,0.5,0.5,0,Ruderal,Am Giessen,47.3996768,8.49474495,1,1,0,0,2,2,2,0.058259617131921015,1,0.5,0.5,NA,NA,NA,0,0,0,NA,NA
B,1,B_1,33,8,18,22,0.7272727272727273,0.1527777777777778,0.9493676133372201,0.6689158756016776,6.629834254143646,33,34,1121,10,0.8787878787878788,0.9444444444444444,0.6363636363636364,Allotment,Gartenareal Breitenstein,47.39364,8.51663,0.875,0.9393939393939394,0.2857142857142857,0.06060606060606061,5,2,3,0.6918549412391031,3,0.7222222222222222,0.696969696969697,1,3.9804824074074077,9.012781004588254,2,4,3,NA,NA
B,2,B_2,39,6,6,9,0.5555555555555556,0.25,0.7171986899932197,0.7755290795150888,NA,19,19,1361,12,0.7948717948717948,0.8333333333333334,0.717948717948718,Allotment,Grubenacker,47.4177,8.55346,0.6666666666666666,0.3076923076923077,0.5,0.05128205128205128,2,1,1,5.789672413793113,2,0.8333333333333334,0.7948717948717948,1,3.574407407407408,8.022182141598384,1,2,3,NA,NA
B,3,B_3,62,16,17,28,0.7857142857142857,0.10294117647058823,0.7676379607399405,0.705856196423553,6.184895833333334,47,47,1081,12,0.9838709677419355,0.9411764705882353,0.9516129032258065,Allotment,Gartenareal Breitenstein,47.39403,8.51594,0.9375,0.967741935483871,0.4666666666666667,0.7419354838709677,6,2,2,1.498741373789552,2,0.8823529411764706,0.967741935483871,0.9833333333333333,4.124407407407408,8.808952583270553,2,5,3,NA,NA
B,4,B_4,13,8,9,13,1,0.18055555555555555,1.0000000000000002,0.7538164289706335,NA,19,19,43,5,1,1,0.8461538461538461,Allotment,Juchhof,47.39934,8.4781,0.75,0.7692307692307693,0.16666666666666666,0.07692307692307693,3,1,2,1.520571635230058,2,0.8888888888888888,0.9230769230769231,1,3.984407407407408,9.071799655654383,1,3,3,NA,NA
B,5,B_5,19,7,9,11,0.7272727272727273,0.1746031746031746,0.8991586935932274,0.8720576204799562,NA,23,24,481,10,1,1,0.7368421052631579,Allotment,Gartenareal Breitenstein,47.3938,8.51659,0.7142857142857143,0.7368421052631579,1,0.7368421052631579,4,2,1,0.310577874706009,1,0.8888888888888888,0.9473684210526315,1,1.7144074074074078,3.311576525975873,1,3,3,NA,NA
B,6,B_6,25,5,5,8,0.625,0.32,0.7791068861989472,0.7178168856045506,NA,12,12,35,4,0.4,0.8,0.32,Allotment,Juchhof,47.4014442872832,8.47412973187809,0.8,0.84,0.25,0.04,2,1,1,6.00335209892155,2,0.6,0.36,1,1.1639999999999997,4.50079890936363,1,2,2,NA,NA
B,7,B_7,62,14,23,34,0.6764705882352942,0.10559006211180125,0.9324776320390211,0.6932941915082185,9.011627906976743,31,32,1613,18,0.967741935483871,0.9130434782608695,0.6612903225806451,Allotment,Gemeinschaftsgarten Grünhölzli,47.38736,8.46865,0.8571428571428571,0.9354838709677419,0.5,0.2903225806451613,6,1,2,0.507916666666668,2,0.7391304347826086,0.7580645161290323,0.8695652173913043,3.9804824074074077,9.038818853193831,2,3,3,NA,NA
B,8,B_8,40,12,20,31,0.9032258064516129,0.12916666666666668,0.9409737733241248,0.7104268226335143,6.751302083333334,41,41,827,7,0.975,0.95,0.675,Allotment,Familiengartenverein Wiedikon,47.3591153,8.50162658610434,0.9166666666666666,0.925,0.18181818181818182,0.125,3,2,2,3.5927184090909026,6,0.8,0.9,1,3.784407407407408,8.548707912437653,2,4,3,NA,NA
B,9,B_9,65,12,22,30,0.7666666666666667,0.11363636363636363,0.8595914140297989,0.6694228829122796,6.902356902356902,40,42,1496,17,1,1,0.8153846153846154,Allotment,Pauls Garden,47.36224,8.50003,0.9166666666666666,0.9846153846153847,0.6363636363636364,0.5846153846153846,5,2,1,1.9408520989215399,1,0.8181818181818182,0.9384615384615385,1,5.555999999999999,12.07865269729753,2,4,4,NA,NA
B,10,B_10,61,12,12,20,0.8,0.1388888888888889,0.7131576631497591,0.7068419869549675,9.343434343434344,25,25,1957,14,0.9672131147540983,0.8333333333333334,0.9016393442622951,Allotment,GZ Bachwiesen - Zürcher Gemeinschaftszentren,47.37907,8.48641,0.9166666666666666,0.7540983606557377,0.36363636363636365,0.5573770491803278,5,2,2,0.635357142857143,3,0.5833333333333334,0.9180327868852459,1,4.166,9.21850854352076,2,3,3,NA,NA
B,11,B_11,26,8,7,15,0.8,0.26785714285714285,0.8367085876654888,0.5808033559125971,NA,26,26,1127,15,1,1,0.7692307692307693,Allotment,Familiengarten Heuelsteig,47.3683693914919,8.57004185552238,0.75,0.8846153846153846,0.16666666666666666,0.15384615384615385,4,2,1,1.388550715674366,4,0.8571428571428571,0.9615384615384616,1,1.664407407407408,3.214074741525663,1,3,2,NA,NA
